ADDRESSES,SEQUENCE
1 bay st # b,"[['DIGIT'], ['ALPHA'], ['WAY'], ['POUND'], ['LETTER']]"
123 main st,"[['DIGIT'], ['ALPHA'], ['WAY']]"
899 embarcadero,"[['DIGIT'], ['ALPHA']]"
77 el camino real,"[['DIGIT'], ['ARTI'], ['ALPHA'], ['ALPHA']]"
73111 EL PASEO STE 104,"[['DIGIT'], ['ARTI'], ['ALPHA'], ['APT'], ['DIGIT']]"
225 LA PALOMA APT A,"[['DIGIT'], ['ARTI'], ['ALPHA'], ['APT'], ['LETTER']]"
50 LOS PATOS WAY,"[['DIGIT'], ['ARTI'], ['ALPHA'], ['WAY']]"
424 LA PAZ,"[['DIGIT'], ['ARTI'], ['ALPHA']]"
3194 DE LA CRUZ BLVD STE 12,"[['DIGIT'], ['ARTI'], ['ARTI'], ['ALPHA'], ['WAY'], ['APT'], ['DIGIT']]"
2830 DE LA VINA ST STE A,"[['DIGIT'], ['ARTI'], ['ARTI'], ['ALPHA'], ['WAY'], ['APT'], ['LETTER']]"
2220 DE LA VINA ST,"[['DIGIT'], ['ARTI'], ['ARTI'], ['ALPHA'], ['WAY']]"
3242 E DESERT INN RD STE 17,"[['DIGIT'], ['DIR'], ['ALPHA'], ['ALPHA'], ['WAY'], ['APT'], ['DIGIT']]"
401 W FORT WILLIAMS ST,"[['DIGIT'], ['DIR'], ['ALPHA'], ['ALPHA'], ['WAY']]"
3843 S BRISTOL 213,"[['DIGIT'], ['DIR'], ['ALPHA'], ['DIGIT']]"
1420 E PLAZA BLVD STE D5,"[['DIGIT'], ['DIR'], ['ALPHA'], ['WAY'], ['APT'], ['ALNUM']]"
473 S MAIN ST STE A,"[['DIGIT'], ['DIR'], ['ALPHA'], ['WAY'], ['APT'], ['LETTER']]"
1029 W BATTLEFIELD ST APT E214,"[['DIGIT'], ['DIR'], ['ALPHA'], ['WAY'], ['APT'],['ALNUM']]"
690 S STATE HIGHWAY 5,"[['DIGIT'], ['DIR'], ['ALPHA'], ['WAY'], ['DIGIT']]"
123 south main street.,"[['DIGIT'], ['DIR'], ['ALPHA'], ['WAY'], ['PERIOD']]"
82 S MAIN ST # 2,"[['DIGIT'], ['DIR'], ['ALPHA'], ['WAY'], ['POUND'], ['DIGIT']]"
901 S BOLMAR ST # A,"[['DIGIT'], ['DIR'], ['ALPHA'], ['WAY'], ['POUND'], ['LETTER']]"
123 east main st,"[['DIGIT'], ['DIR'], ['ALPHA'], ['WAY']]"
123 west hill,"[['DIGIT'], ['DIR'], ['ALPHA']]"
220 N EL CAMINO REAL SPC 36,"[['DIGIT'], ['DIR'], ['ARTI'], ['ALPHA'], ['ALPHA'], ['APT'], ['DIGIT']]"
170 N LA CANADA 10,"[['DIGIT'], ['DIR'], ['ARTI'], ['ALPHA'], ['DIGIT']]"
824 S LOS ANGELES ST STE 201,"[['DIGIT'], ['DIR'], ['ARTI'], ['ALPHA'], ['WAY'], ['APT'], ['DIGIT']]"
3051 E LA JOLLA ST STE F,"[['DIGIT'], ['DIR'], ['ARTI'], ['ALPHA'], ['WAY'], ['APT'], ['LETTER']]"
665 E LOS ANGELES AVE E,"[['DIGIT'], ['DIR'], ['ARTI'], ['ALPHA'], ['WAY'], ['LETTER', 'DIR']]"
1804 S LA CIENEGA BLVD # 102,"[['DIGIT'], ['DIR'], ['ARTI'], ['ALPHA'], ['WAY'], ['POUND'], ['DIGIT']]"
100 S DEL PUERTO AVE,"[['DIGIT'], ['DIR'], ['ARTI'], ['ALPHA'], ['WAY']]"
775 E 14 MILE RD,"[['DIGIT'], ['DIR'], ['DIGIT'], ['ALPHA'], ['WAY']]"
118 N 300 W,"[['DIGIT'], ['DIR'], ['DIGIT'], ['DIR']]"
13501 S 4050 RD,"[['DIGIT'], ['DIR'], ['DIGIT'], ['WAY']]"
2135 S SOUTH CEDAR DR,"[['DIGIT'], ['DIR'], ['DIR'], ['ALPHA'], ['WAY']]"
598 E NORTH AVE,"[['DIGIT'], ['DIR'], ['DIR'], ['WAY']]"
1200 E C ST,"[['DIGIT'], ['DIR'], ['LETTER'], ['WAY']]"
12941 S 198TH EAST AVE,"[['DIGIT'], ['DIR'], ['NTH'], ['DIR'], ['WAY']]"
1001 N 60TH ST,"[['DIGIT'], ['DIR'], ['NTH'], ['WAY']]"
1234 N SANTA FE AVE STE 116,"[['DIGIT'], ['DIR'], ['PRE'], ['ALPHA'], ['WAY'], ['APT'], ['DIGIT']]"
416 N SANTA CRUZ AVE,"[['DIGIT'], ['DIR'], ['PRE'], ['ALPHA'], ['WAY']]"
437 S HIGHWAY 101 STE 501,"[['DIGIT'], ['DIR'], ['WAY'], ['DIGIT'], ['APT'], ['DIGIT']]"
12940 S HIGHWAY 259,"[['DIGIT'], ['DIR'], ['WAY'], ['DIGIT']]"
12545 S HIGHWAY J,"[['DIGIT'], ['DIR'], ['WAY'], ['LETTER']]"
1884 WEST ST,"[['DIGIT'], ['DIR'], ['WAY']]"
712 B MAIN ST,"[['DIGIT'], ['LETTER'], ['ALPHA'], ['WAY']]"
8 J C LONG BLVD,"[['DIGIT'], ['LETTER'], ['LETTER'], ['ALPHA'], ['WAY']]"
855 M ST STE 120,"[['DIGIT'], ['LETTER'], ['WAY'], ['APT'], ['DIGIT']]"
2915 M ST NW,"[['DIGIT'], ['LETTER'], ['WAY'], ['DIR']]"
639 C ST,"[['DIGIT'], ['LETTER'], ['WAY']]"
205 3RD AVE APT 3K,"[['DIGIT'], ['NTH'], ['WAY'], ['APT'], ['ALNUM']]"
462 7TH AVE FL 2,"[['DIGIT'], ['NTH'], ['WAY'], ['APT'], ['DIGIT']]"
219 2ND AVE SE STE 101,"[['DIGIT'], ['NTH'], ['WAY'], ['DIR'], ['APT'], ['DIGIT']]"
10859 12TH AVE SW,"[['DIGIT'], ['NTH'], ['WAY'], ['DIR']]"
1234 7TH AVENUE,"[['DIGIT'], ['NTH'], ['WAY']]"
14238 44ND AVE,"[['DIGIT'], ['NUMSTR'], ['WAY']]"
480 SAN RAMON VALLEY BLVD,"[['DIGIT'], ['PRE'], ['ALPHA'], ['ALPHA'], ['WAY']]"
996 san benito st,"[['DIGIT'], ['PRE'], ['ALPHA'], ['WAY']]"
28490 AVENUE STANFORD STE A,"[['DIGIT'], ['WAY'], ['ALPHA'], ['APT'], ['LETTER']]"
28120 AVENUE CROCKER # 222,"[['DIGIT'], ['WAY'], ['ALPHA'], ['POUND'], ['DIGIT']]"
7600 DR PHILLIPS BLVD STE 4,"[['DIGIT'], ['WAY'], ['ALPHA'], ['WAY'], ['APT'], ['DIGIT']]"
501 HILL COUNTRY LN,"[['DIGIT'], ['WAY'], ['ALPHA'], ['WAY']]"
5 PARK PLZ,"[['DIGIT'], ['WAY'], ['ALPHA']]"
1900 AVENUE OF THE STARS,"[['DIGIT'], ['WAY'], ['ARTI'], ['ARTI'], ['ALPHA']]"
73140 HIGHWAY 111 STE 6,"[['DIGIT'], ['WAY'], ['DIGIT'], ['APT'], ['DIGIT']]"
476534 HIGHWAY 95 STE A,"[['DIGIT'], ['WAY'], ['DIGIT'], ['APT'], ['LETTER']]"
751 ROUTE 37 W,"[['DIGIT'], ['WAY'], ['DIGIT'], ['DIR']]"
249 route 206,"[['DIGIT'], ['WAY'], ['DIGIT']]"
123 avenue c,"[['DIGIT'], ['WAY'], ['LETTER']]"
1113 HWY 72E,"[['DIGIT'], ['WAY'], ['NUMS_1AL']]"
5980 VILLAGE WAY STE 108,"[['DIGIT'], ['WAY'], ['WAY'], ['APT'], ['DIGIT']]"
21 TURNPIKE RD STE A,"[['DIGIT'], ['WAY'], ['WAY'], ['APT'], ['LETTER']]"
1919 PARK AVE,"[['DIGIT'], ['WAY'], ['WAY']]"
1771A PRINCESS ANNE RD,"[['NUMS_1A'], ['ALPHA'], ['ALPHA'], ['WAY']]"
1631A S MAIN ST,"[['NUMS_1A'],['DIR'],['ALPHA'],['WAY']]"
338A 7TH AVE,"[['NUMS_1A'],['NTH'],['WAY']]"
45C OLD MILL RD,"[['NUMS_1AL'], ['ALPHA'], ['ALPHA'], ['WAY']]"
7B GREENWOOD DR STE 9,"[['NUMS_1AL'], ['ALPHA'], ['WAY'], ['APT'], ['DIGIT']]"
16940A COUNTY ROAD 126,"[['NUMS_1AL'], ['ALPHA'], ['WAY'], ['DIGIT']]"
1559B SLOAT BLVD # 218,"[['NUMS_1AL'], ['ALPHA'], ['WAY'], ['POUND'], ['DIGIT']]"
564A GREEN VILLAGE CT,"[['NUMS_1AL'], ['ALPHA'], ['WAY'], ['WAY']]"
717B GRAVES ST,"[['NUMS_1AL'], ['ALPHA'], ['WAY']]"
12316A N MAY AVE # 141,"[['NUMS_1AL'], ['DIR'], ['ALPHA'], ['WAY'], ['POUND'], ['DIGIT']]"
2720A N MAIN ST,"[['NUMS_1AL'], ['DIR'], ['ALPHA'], ['WAY']]"
338A 7TH ST,"[['NUMS_1AL'], ['NTH'], ['WAY']]"
