,ADDRESSES,ADDRESS,POBOX,SUITE,ATTN,BEST FIT
13,#295W 2900 12TH AVE NORTH,2900 12TH AVE NORTH,,,,"[[1, 5, 4, ['ADDRESS'], '2900 12th ave north']]"
14,#3 CHAPMAN AVENUE,#3 CHAPMAN AVENUE,,,,"[[0, 3, 3, ['ADDRESS'], '#3 chapman avenue']]"
15,#400 750 BATTERY ST,#400 750 BATTERY ST,,,,"[[0, 4, 4, ['ADDRESS'], '#400 750 battery st']]"
16,#5 MEDICAL PARK SUITE 101,#5 MEDICAL PARK,,SUITE 101,,"[[0, 3, 3, ['ADDRESS'], '#5 medical park'], [3, 5, 2, ['SUITE'], 'suite 101']]"
17,#5 SHACKLEFORD PLAZA SUITE 200,#5 SHACKLEFORD PLAZA,,SUITE 200,,"[[0, 3, 3, ['ADDRESS'], '#5 shackleford plaza'], [3, 5, 2, ['SUITE'], 'suite 200']]"
18,#600 750 BATTERY ST,#600 750 BATTERY ST,,,,"[[0, 4, 4, ['ADDRESS'], '#600 750 battery st']]"
19,% NEW WORLD STAGE 340 WEST 50TH STREET,340 WEST 50TH STREET,,,,"[[3, 7, 4, ['ADDRESS'], '340 west 50th street']]"
20,%CREATIVE WORKSITE SOLUTIONS 3404 SALTERBECK ST SUITE 207,3404 SALTERBECK ST,,SUITE 207,,"[[3, 6, 3, ['ADDRESS'], '3404 salterbeck st'], [6, 8, 2, ['SUITE'], 'suite 207']]"
21,& COOK PA 7482 WATERSIDE CROSSING,7482 WATERSIDE CROSSING,,,,"[[3, 6, 3, ['ADDRESS'], '7482 waterside crossing']]"
22,& COOK PA 8738 UNIVERSITY CITY BLVD,8738 UNIVERSITY CITY BLVD,,,,"[[3, 7, 4, ['ADDRESS'], '8738 university city blvd']]"
23,(EE'S WITH ACTIVE LTD GROUP) 201 CHARLOIS BOULEVARD,201 CHARLOIS BOULEVARD,,,,"[[5, 8, 3, ['ADDRESS'], '201 charlois boulevard']]"
24,(EE'S WITH CLOSED LTD GROUP) 201 CHARLOIS BOULEVARD,201 CHARLOIS BOULEVARD,,,,"[[5, 8, 3, ['ADDRESS'], '201 charlois boulevard']]"
25,(LIFE/AD&D & STD) 6 NORTH PARK DRIVE SUITE 310,6 NORTH PARK DRIVE,,SUITE 310,,"[[5, 9, 4, ['ADDRESS'], '6 north park drive'], [9, 11, 2, ['SUITE'], 'suite 310']]"
26,(LIFE/AD&D LTD) 2200 MIDTOWN PLACE NE STE A,2200 MIDTOWN PLACE NE,,STE A,,"[[4, 8, 4, ['ADDRESS'], '2200 midtown place ne'], [8, 10, 2, ['SUITE'], 'ste a']]"
27,(LIFE/AD&D) 31 EAST MINNESOTA,31 EAST MINNESOTA,,D,,"[[2, 3, 1, ['SUITE'], 'd'], [3, 6, 3, ['ADDRESS'], '31 east minnesota']]"
28,(LTD COVERAGE) 31 EAST MINNESOTA,31 EAST MINNESOTA,,,,"[[2, 5, 3, ['ADDRESS'], '31 east minnesota']]"
29,(LTD ONLY) 2720 SOUTH J STREET,,,2720 SOUTH,,"[[2, 4, 2, ['SUITE'], '2720 south']]"
30,(LTD ONLY) 6 NORTH PARK DRIVE SUITE 310,6 NORTH PARK DRIVE,,SUITE 310,,"[[2, 6, 4, ['ADDRESS'], '6 north park drive'], [6, 8, 2, ['SUITE'], 'suite 310']]"
31,(SMOHIT) 601 N FAIRFAX ST STE 250,601 N FAIRFAX ST,,STE 250,,"[[1, 5, 4, ['ADDRESS'], '601 n fairfax st'], [5, 7, 2, ['SUITE'], 'ste 250']]"
32,(STD ONLY) 2111 SOUTH 90TH STREET,2111 SOUTH 90TH STREET,,,,"[[2, 6, 4, ['ADDRESS'], '2111 south 90th street']]"
33,(VOLUNTARY LTD) 33 W MONROE STREET SUITE 2300,33 W MONROE STREET,,SUITE 2300,,"[[2, 6, 4, ['ADDRESS'], '33 w monroe street'], [6, 8, 2, ['SUITE'], 'suite 2300']]"
34,- 475 14TH STREET 9TH FLOOR,475 14TH STREET,,9TH FLOOR,,"[[1, 4, 3, ['ADDRESS'], '475 14th street'], [4, 6, 2, ['SUITE'], '9th floor']]"
35,08855 MARTIN ROAD PO BOX 236,08855 MARTIN ROAD,PO BOX 236,,,"[[0, 3, 3, ['ADDRESS'], '08855 martin road'], [3, 6, 3, ['POBOX'], 'po box 236']]"
36,1 2ND STREET N SUITE 102,1 2ND STREET N,,SUITE 102,,"[[0, 4, 4, ['ADDRESS'], '1 2nd street n'], [4, 6, 2, ['SUITE'], 'suite 102']]"
37,1 AGAVE CENTER 8950 S 52ND ST SUITE 415,1 AGAVE CENTER 8950 S,,SUITE 415,,"[[0, 5, 5, ['ADDRESS'], '1 agave center 8950 s'], [7, 9, 2, ['SUITE'], 'suite 415']]"
38,1 AVIATION WAY PEACHTREE DEKALB AIRPORT,1 AVIATION WAY PEACHTREE,,,,"[[0, 4, 4, ['ADDRESS'], '1 aviation way peachtree']]"
39,1 BALTIMORE PLACE NW #350,1 BALTIMORE PLACE NW,,#350,,"[[0, 4, 4, ['ADDRESS'], '1 baltimore place nw'], [4, 5, 1, ['SUITE'], '#350']]"
40,1 BLUE HILL PLAZA PO BOX 1629,1 BLUE HILL PLAZA,PO BOX 1629,,,"[[0, 4, 4, ['ADDRESS'], '1 blue hill plaza'], [4, 7, 3, ['POBOX'], 'po box 1629']]"
41,1 BOWDOIN MILL ISLAND SUITE 201,1 BOWDOIN MILL,,SUITE 201,,"[[0, 3, 3, ['ADDRESS'], '1 bowdoin mill'], [4, 6, 2, ['SUITE'], 'suite 201']]"
42,1 CENTERPOINTE DRIVE #200,1 CENTERPOINTE DRIVE,,#200,,"[[0, 3, 3, ['ADDRESS'], '1 centerpointe drive'], [3, 4, 1, ['SUITE'], '#200']]"
43,1 CITIZENS FED CENTRE STE 1000 110 NORTH MAIN STREET,110 NORTH MAIN STREET,,STE 1000,,"[[4, 6, 2, ['SUITE'], 'ste 1000'], [6, 10, 4, ['ADDRESS'], '110 north main street']]"
44,1 COLLEGE AND MAIN,1 COLLEGE AND,,,,"[[0, 3, 3, ['ADDRESS'], '1 college and']]"
45,1 CORPORATE DRIVE #400 PO BOX 1519,1 CORPORATE DRIVE,PO BOX 1519,#400,,"[[0, 3, 3, ['ADDRESS'], '1 corporate drive'], [3, 4, 1, ['SUITE'], '#400'], [4, 7, 3, ['POBOX'], 'po box 1519']]"
46,1 CORWIN COURT PO BOX 1479 (FOR ALL NY EMPLOYEES),1 CORWIN COURT,PO BOX 1479,,,"[[0, 3, 3, ['ADDRESS'], '1 corwin court'], [3, 6, 3, ['POBOX'], 'po box 1479']]"
47,1 CORWIN COURT PO BOX 1479 PO BOX 1479,1 CORWIN COURT,PO BOX 1479,1479,,"[[0, 3, 3, ['ADDRESS'], '1 corwin court'], [5, 6, 1, ['SUITE'], '1479'], [6, 9, 3, ['POBOX'], 'po box 1479']]"
48,1 CUMBERLAND AVE PO BOX 2947,1 CUMBERLAND AVE,PO BOX 2947,,,"[[0, 3, 3, ['ADDRESS'], '1 cumberland ave'], [3, 6, 3, ['POBOX'], 'po box 2947']]"
49,1 DESIGNER CENTER PLACE STUDIO 719,1 DESIGNER CENTER PLACE,,719,,"[[0, 4, 4, ['ADDRESS'], '1 designer center place'], [5, 6, 1, ['SUITE'], '719']]"
50,1 EDGEWATER PLAZA SUITE 700 7TH FLOOR,1 EDGEWATER PLAZA,,7TH FLOOR,,"[[0, 3, 3, ['ADDRESS'], '1 edgewater plaza'], [5, 7, 2, ['SUITE'], '7th floor']]"
51,1 FRONT STREET #1325,1 FRONT STREET,,#1325,,"[[0, 3, 3, ['ADDRESS'], '1 front street'], [3, 4, 1, ['SUITE'], '#1325']]"
52,1 GREENWAY PLAZA #100,1 GREENWAY PLAZA,,#100,,"[[0, 3, 3, ['ADDRESS'], '1 greenway plaza'], [3, 4, 1, ['SUITE'], '#100']]"
53,1 HIGH SCHOOL LANE S 84TH STR,1 HIGH SCHOOL LANE S,,,,"[[0, 5, 5, ['ADDRESS'], '1 high school lane s']]"
54,1 INDUSTRIAL BLVD #101,1 INDUSTRIAL BLVD,,#101,,"[[0, 3, 3, ['ADDRESS'], '1 industrial blvd'], [3, 4, 1, ['SUITE'], '#101']]"
55,1 LETTERMAN DRIVE BUILDING D 5TH FL,1 LETTERMAN DRIVE BUILDING,,5TH FL,,"[[0, 4, 4, ['ADDRESS'], '1 letterman drive building'], [5, 7, 2, ['SUITE'], '5th fl']]"
56,1 LONESTAR PASS BLDG #1 STE # 1103,1 LONESTAR PASS,,STE # 1103,,"[[0, 3, 3, ['ADDRESS'], '1 lonestar pass'], [5, 8, 3, ['SUITE'], 'ste # 1103']]"
57,1 LONESTAR PASS BLDG #1 STE #1101,1 LONESTAR PASS,,#1101,,"[[0, 3, 3, ['ADDRESS'], '1 lonestar pass'], [6, 7, 1, ['SUITE'], '#1101']]"
58,1 LONESTAR PASS BLDG #1 STE #1103,1 LONESTAR PASS,,#1103,,"[[0, 3, 3, ['ADDRESS'], '1 lonestar pass'], [6, 7, 1, ['SUITE'], '#1103']]"
59,1 MACARTHUR PLACE; SUITE 300,1 MACARTHUR PLACE,,SUITE 300,,"[[0, 3, 3, ['ADDRESS'], '1 macarthur place'], [3, 5, 2, ['SUITE'], 'suite 300']]"
60,1 MAIN ST PO BOX 67,1 MAIN ST,PO BOX 67,,,"[[0, 3, 3, ['ADDRESS'], '1 main st'], [3, 6, 3, ['POBOX'], 'po box 67']]"
61,1 MARITIME PLAZA #18,1 MARITIME PLAZA,,#18,,"[[0, 3, 3, ['ADDRESS'], '1 maritime plaza'], [3, 4, 1, ['SUITE'], '#18']]"
62,1 MEDICAL CENTER BLVD POB 2 SUITE 324,1 MEDICAL CENTER BLVD,,SUITE 324,,"[[0, 4, 4, ['ADDRESS'], '1 medical center blvd'], [6, 8, 2, ['SUITE'], 'suite 324']]"
63,1 N LASALLE STREET #1920,1 N LASALLE STREET,,#1920,,"[[0, 4, 4, ['ADDRESS'], '1 n lasalle street'], [4, 5, 1, ['SUITE'], '#1920']]"
64,1 N LAST CHANCE GULCH SUITE 4,1 N LAST CHANCE,,SUITE 4,,"[[0, 4, 4, ['ADDRESS'], '1 n last chance'], [5, 7, 2, ['SUITE'], 'suite 4']]"
65,1 NEW ENGLAND EXECUTIVE PARK,1 NEW ENGLAND,,,,"[[0, 3, 3, ['ADDRESS'], '1 new england']]"
66,1 NORTH FRANKLIN STREET SUITE,1 NORTH FRANKLIN STREET,,,,"[[0, 4, 4, ['ADDRESS'], '1 north franklin street']]"
67,1 NORTH JOHNSON AVENUE #A110 MILL ONE,1 NORTH JOHNSON AVENUE,,,,"[[0, 4, 4, ['ADDRESS'], '1 north johnson avenue']]"
68,1 NORTH OLD STATE CAPITOL PLAZA SUITE 525,1 NORTH OLD STATE,,SUITE 525,,"[[0, 4, 4, ['ADDRESS'], '1 north old state'], [6, 8, 2, ['SUITE'], 'suite 525']]"
69,1 PARK WEST CIRCLE SUITE 108,,,SUITE 108,,"[[2, 3, 1, ['_DIR_'], 'west'], [4, 6, 2, ['SUITE'], 'suite 108']]"
70,1 PENN CENTER WEST SUITE 425,1 PENN CENTER WEST,,SUITE 425,,"[[0, 4, 4, ['ADDRESS'], '1 penn center west'], [4, 6, 2, ['SUITE'], 'suite 425']]"
71,1 PIERCE PLACE #900,1 PIERCE PLACE,,#900,,"[[0, 3, 3, ['ADDRESS'], '1 pierce place'], [3, 4, 1, ['SUITE'], '#900']]"
72,1 RIVER ROCK DRIVE PO BOX 1047,1 RIVER ROCK DRIVE,PO BOX 1047,,,"[[0, 4, 4, ['ADDRESS'], '1 river rock drive'], [4, 7, 3, ['POBOX'], 'po box 1047']]"
73,1 S 450 SUMMIT AVENUE SUITE 320,450 SUMMIT AVENUE,,SUITE 320,,"[[1, 2, 1, ['_DIR_', 'SUITE'], 's'], [2, 5, 3, ['ADDRESS'], '450 summit avenue'], [5, 7, 2, ['SUITE'], 'suite 320']]"
74,1 S 660 MIDWEST ROAD SUITE 205,660 MIDWEST ROAD,,SUITE 205,,"[[1, 2, 1, ['_DIR_', 'SUITE'], 's'], [2, 5, 3, ['ADDRESS'], '660 midwest road'], [5, 7, 2, ['SUITE'], 'suite 205']]"
75,1 S MAIN STREET PO BOX 505,1 S MAIN STREET,PO BOX 505,,,"[[0, 4, 4, ['ADDRESS'], '1 s main street'], [4, 7, 3, ['POBOX'], 'po box 505']]"
76,1 SAINT MARK STREET,,,1,,"[[0, 1, 1, ['SUITE'], '1']]"
77,1 SOUTH BROAD STREET 24TH FLO,1 SOUTH BROAD STREET,,FLO,,"[[0, 4, 4, ['ADDRESS'], '1 south broad street'], [5, 6, 1, ['SUITE'], 'flo']]"
78,1 SOUTH PINCKNEY STREET PO BOX 927 FOURTH FLOOR,1 SOUTH PINCKNEY STREET,PO BOX 927,,,"[[0, 4, 4, ['ADDRESS'], '1 south pinckney street'], [4, 7, 3, ['POBOX'], 'po box 927']]"
79,1 SOUTH STREET BOX 249,1 SOUTH STREET,BOX 249,,,"[[0, 3, 3, ['ADDRESS'], '1 south street'], [3, 5, 2, ['POBOX'], 'box 249']]"
80,1 SOUTHEAST OLD STATE CAPITAL PLAZA,1 SOUTHEAST OLD,,,,"[[0, 3, 3, ['ADDRESS'], '1 southeast old']]"
81,1 SOUTHEAST OLD STATE CAPITOL PLAZA,1 SOUTHEAST OLD,,,,"[[0, 3, 3, ['ADDRESS'], '1 southeast old']]"
82,1 ST NICHOLAS TERRACE APT 34,,,APT 34,,"[[4, 6, 2, ['SUITE'], 'apt 34']]"
83,1 VIRGINIA AVE #202,1 VIRGINIA AVE,,#202,,"[[0, 3, 3, ['ADDRESS'], '1 virginia ave'], [3, 4, 1, ['SUITE'], '#202']]"
84,1 WEST 4TH STREET #417,1 WEST 4TH STREET,,#417,,"[[0, 4, 4, ['ADDRESS'], '1 west 4th street'], [4, 5, 1, ['SUITE'], '#417']]"
85,1 WESTBROOK CORPORATE CENTER SUITE 910,1 WESTBROOK CORPORATE CENTER,,SUITE 910,,"[[0, 4, 4, ['ADDRESS'], '1 westbrook corporate center'], [4, 6, 2, ['SUITE'], 'suite 910']]"
86,1 WYOMING STREET P O BOX 349,1 WYOMING STREET,P O BOX 349,,,"[[0, 3, 3, ['ADDRESS'], '1 wyoming street'], [3, 7, 4, ['POBOX'], 'p o box 349']]"
87,1-77 FAIRPLAIN EXIT ROUTE 21,1-77 FAIRPLAIN EXIT ROUTE,,21,,"[[0, 4, 4, ['ADDRESS'], '1-77 fairplain exit route'], [4, 5, 1, ['SUITE'], '21']]"
88,10 9TH AVE E PO BOX 1049,10 9TH AVE E,PO BOX 1049,,,"[[0, 4, 4, ['ADDRESS'], '10 9th ave e'], [4, 7, 3, ['POBOX'], 'po box 1049']]"
89,10 BALDWIN ST PO BOX 609,10 BALDWIN ST,PO BOX 609,,,"[[0, 3, 3, ['ADDRESS'], '10 baldwin st'], [3, 6, 3, ['POBOX'], 'po box 609']]"
90,10 CEDAR STREET #31,10 CEDAR STREET,,#31,,"[[0, 3, 3, ['ADDRESS'], '10 cedar street'], [3, 4, 1, ['SUITE'], '#31']]"
91,10 CENTENNIAL DRIVE WEST SIDE #105,10 CENTENNIAL DRIVE WEST,,#105,,"[[0, 4, 4, ['ADDRESS'], '10 centennial drive west'], [5, 6, 1, ['SUITE'], '#105']]"
92,10 EAST BALTIMORE STREET SUITE,10 EAST BALTIMORE STREET,,,,"[[0, 4, 4, ['ADDRESS'], '10 east baltimore street']]"
93,10 GREENWOOD AVE #F,10 GREENWOOD AVE,,,,"[[0, 3, 3, ['ADDRESS'], '10 greenwood ave']]"
94,10 HEMINGWAY DR #2,10 HEMINGWAY DR,,#2,,"[[0, 3, 3, ['ADDRESS'], '10 hemingway dr'], [3, 4, 1, ['SUITE'], '#2']]"
95,10 I STREET SW,10 I STREET SW,,,,"[[0, 4, 4, ['ADDRESS'], '10 i street sw']]"
96,10 INDUSTRIAL WAY-EAST,10 INDUSTRIAL,,,,"[[0, 2, 2, ['ADDRESS'], '10 industrial']]"
97,10 LANGELOTH PLANT DRIVE PO BOX 62,10 LANGELOTH PLANT DRIVE,PO BOX 62,,,"[[0, 4, 4, ['ADDRESS'], '10 langeloth plant drive'], [4, 7, 3, ['POBOX'], 'po box 62']]"
98,10 MAGUIRE AVE BUILDING 4,10 MAGUIRE AVE,,4,,"[[0, 3, 3, ['ADDRESS'], '10 maguire ave'], [4, 5, 1, ['SUITE'], '4']]"
99,10 MONUMENT STREET PO BOX 275,10 MONUMENT STREET,PO BOX 275,,,"[[0, 3, 3, ['ADDRESS'], '10 monument street'], [3, 6, 3, ['POBOX'], 'po box 275']]"
100,10 N GREENE STREET RM 3D-150,10 N GREENE STREET RM,,,,"[[0, 5, 5, ['ADDRESS'], '10 n greene street rm']]"
101,10 N MARTINGALE RD #400,10 N MARTINGALE RD,,#400,,"[[0, 4, 4, ['ADDRESS'], '10 n martingale rd'], [4, 5, 1, ['SUITE'], '#400']]"
102,10 OLD ROAD P O BOX 1160,10 OLD ROAD,P O BOX 1160,,,"[[0, 3, 3, ['ADDRESS'], '10 old road'], [3, 7, 4, ['POBOX'], 'p o box 1160']]"
103,10 POST OFFICE SQUARE 7TH FLOOR SOUTH,10 POST OFFICE SQUARE,,7TH FLOOR,,"[[0, 4, 4, ['ADDRESS'], '10 post office square'], [4, 6, 2, ['SUITE'], '7th floor'], [6, 7, 1, ['_DIR_'], 'south']]"
104,10 S BROADWAY 2000 EQUITABLE BUILDING,10 S BROADWAY 2000,,,,"[[0, 4, 4, ['ADDRESS'], '10 s broadway 2000']]"
105,10 S LASALLE STREET SUITE #1500,10 S LASALLE STREET,,#1500,,"[[0, 4, 4, ['ADDRESS'], '10 s lasalle street'], [5, 6, 1, ['SUITE'], '#1500']]"
106,10 S PAINT ST PO BOX 93,10 S PAINT ST,PO BOX 93,,,"[[0, 4, 4, ['ADDRESS'], '10 s paint st'], [4, 7, 3, ['POBOX'], 'po box 93']]"
107,10 SOUTH 5TH STREET SUITE 840 LUMBER EXCHANGE BUILDING,10 SOUTH 5TH STREET,,SUITE 840,,"[[0, 4, 4, ['ADDRESS'], '10 south 5th street'], [4, 6, 2, ['SUITE'], 'suite 840']]"
108,10 TOWER LANE FIRST FLOOR,10 TOWER LANE FIRST,,,,"[[0, 4, 4, ['ADDRESS'], '10 tower lane first']]"
109,10 UNION STREET P O BOX 645,10 UNION STREET,P O BOX 645,,,"[[0, 3, 3, ['ADDRESS'], '10 union street'], [3, 7, 4, ['POBOX'], 'p o box 645']]"
110,10 W ELM P O BOX 100,10 W ELM,P O BOX 100,,,"[[0, 3, 3, ['ADDRESS'], '10 w elm'], [3, 7, 4, ['POBOX'], 'p o box 100']]"
111,10 W HANOVER AVE #111,10 W HANOVER AVE,,#111,,"[[0, 4, 4, ['ADDRESS'], '10 w hanover ave'], [4, 5, 1, ['SUITE'], '#111']]"
112,100 3RD AVENUE SOUTH UNIT 605,100 3RD AVENUE SOUTH,,UNIT 605,,"[[0, 4, 4, ['ADDRESS'], '100 3rd avenue south'], [4, 6, 2, ['SUITE'], 'unit 605']]"
113,100 7TH SUITE 150,,,SUITE 150,,"[[2, 4, 2, ['SUITE'], 'suite 150']]"
114,100 ALLEGHENY DRIVE SUITE #10,100 ALLEGHENY DRIVE,,#10,,"[[0, 3, 3, ['ADDRESS'], '100 allegheny drive'], [4, 5, 1, ['SUITE'], '#10']]"
115,100 ASHFORD CENTER NORTH SUITE 500,100 ASHFORD CENTER NORTH,,SUITE 500,,"[[0, 4, 4, ['ADDRESS'], '100 ashford center north'], [4, 6, 2, ['SUITE'], 'suite 500']]"
116,100 ASHFORD CTR N SUITE #500,100 ASHFORD CTR N,,#500,,"[[0, 4, 4, ['ADDRESS'], '100 ashford ctr n'], [5, 6, 1, ['SUITE'], '#500']]"
117,100 BEAVER STREET #201,100 BEAVER STREET,,#201,,"[[0, 3, 3, ['ADDRESS'], '100 beaver street'], [3, 4, 1, ['SUITE'], '#201']]"
118,100 CASPIAN AVE PO BOX 500,100 CASPIAN AVE,PO BOX 500,,,"[[0, 3, 3, ['ADDRESS'], '100 caspian ave'], [3, 6, 3, ['POBOX'], 'po box 500']]"
119,100 COMMONS WAY (THE COMMONS) BUILDING A100,100 COMMONS WAY,,A100,,"[[0, 3, 3, ['ADDRESS'], '100 commons way'], [6, 7, 1, ['SUITE'], 'a100']]"
120,100 CONCOURSE PARKWAY SUITE 24,100 CONCOURSE PARKWAY,,SUITE 24,,"[[0, 3, 3, ['ADDRESS'], '100 concourse parkway'], [3, 5, 2, ['SUITE'], 'suite 24']]"
121,100 CUMMINGS CENTER STE 534-G BER - DO NOT MAIL,100 CUMMINGS CENTER,,STE 534-G,,"[[0, 3, 3, ['ADDRESS'], '100 cummings center'], [3, 5, 2, ['SUITE'], 'ste 534-g']]"
122,100 EAST 4TH AVENUE PO BOX 1189,100 EAST 4TH AVENUE,PO BOX 1189,,,"[[0, 4, 4, ['ADDRESS'], '100 east 4th avenue'], [4, 7, 3, ['POBOX'], 'po box 1189']]"
123,100 GALLERIA PARKWAY SE SUITE,100 GALLERIA PARKWAY,,,,"[[0, 3, 3, ['ADDRESS'], '100 galleria parkway'], [3, 4, 1, ['_DIR_'], 'se']]"
124,100 GALWAY PLACE PO BOX 656,100 GALWAY PLACE,PO BOX 656,,,"[[0, 3, 3, ['ADDRESS'], '100 galway place'], [3, 6, 3, ['POBOX'], 'po box 656']]"
125,100 GRAND TRAVERSE VILLAGE BLV,100 GRAND TRAVERSE VILLAGE,,,,"[[0, 4, 4, ['ADDRESS'], '100 grand traverse village']]"
126,100 GROSSMAN DR SUITE #305,100 GROSSMAN DR,,#305,,"[[0, 3, 3, ['ADDRESS'], '100 grossman dr'], [4, 5, 1, ['SUITE'], '#305']]"
127,100 I-45 NORTH SUITE 610 BOX 1,,BOX 1,SUITE 610,,"[[2, 3, 1, ['_DIR_'], 'north'], [3, 5, 2, ['SUITE'], 'suite 610'], [5, 7, 2, ['POBOX'], 'box 1']]"
128,100 IDS CENTER 80 SOUTH 8TH ST,100 IDS CENTER 80 SOUTH,,,,"[[0, 5, 5, ['ADDRESS'], '100 ids center 80 south']]"
129,100 INDUSTRIAL DRIVE PO BOX 325,100 INDUSTRIAL DRIVE,PO BOX 325,,,"[[0, 3, 3, ['ADDRESS'], '100 industrial drive'], [3, 6, 3, ['POBOX'], 'po box 325']]"
130,100 KENTUCKY STRET BUILDING D P O BOX 965,100 KENTUCKY STRET,P O BOX 965,D,,"[[0, 3, 3, ['ADDRESS'], '100 kentucky stret'], [4, 5, 1, ['SUITE'], 'd'], [5, 9, 4, ['POBOX'], 'p o box 965']]"
131,100 LOWDERBROOK DRIVE SUITE #1000,100 LOWDERBROOK DRIVE,,#1000,,"[[0, 3, 3, ['ADDRESS'], '100 lowderbrook drive'], [4, 5, 1, ['SUITE'], '#1000']]"
132,100 MADISON AVENUE CAROL G SIMS CANCER CENTER 2,100 MADISON AVENUE CAROL,,2,,"[[0, 4, 4, ['ADDRESS'], '100 madison avenue carol'], [8, 9, 1, ['SUITE'], '2']]"
133,100 MERRICK ROAD SUITE 406 EAST,100 MERRICK ROAD,,SUITE 406 EAST,,"[[0, 3, 3, ['ADDRESS'], '100 merrick road'], [3, 6, 3, ['SUITE'], 'suite 406 east']]"
134,100 METHODIST HOSPITAL BOULAVA,100 METHODIST HOSPITAL,,,,"[[0, 3, 3, ['ADDRESS'], '100 methodist hospital']]"
135,100 MICHIGAN ST NE MC 103,100 MICHIGAN ST NE,,103,,"[[0, 4, 4, ['ADDRESS'], '100 michigan st ne'], [5, 6, 1, ['SUITE'], '103']]"
136,100 MIDDLE ST EAST TOWER SUITE 203,100 MIDDLE ST EAST,,SUITE 203,,"[[0, 4, 4, ['ADDRESS'], '100 middle st east'], [5, 7, 2, ['SUITE'], 'suite 203']]"
137,100 MIDDLE STREET PO BOX 9729,100 MIDDLE STREET,PO BOX 9729,,,"[[0, 3, 3, ['ADDRESS'], '100 middle street'], [3, 6, 3, ['POBOX'], 'po box 9729']]"
138,100 MORGAN KEEGAN DRIVE SUITE,100 MORGAN KEEGAN DRIVE,,,,"[[0, 4, 4, ['ADDRESS'], '100 morgan keegan drive']]"
139,100 N EDINBURGH DRIVE #SUITE 200,100 N EDINBURGH DRIVE,,200,,"[[0, 4, 4, ['ADDRESS'], '100 n edinburgh drive'], [5, 6, 1, ['SUITE'], '200']]"
140,100 N PHILLIPS AVE 9TH FLOOR P O BOX 1400,100 N PHILLIPS AVE,P O BOX 1400,9TH FLOOR,,"[[0, 4, 4, ['ADDRESS'], '100 n phillips ave'], [4, 6, 2, ['SUITE'], '9th floor'], [6, 10, 4, ['POBOX'], 'p o box 1400']]"
141,100 N TAMPA ST #2410,100 N TAMPA ST,,#2410,,"[[0, 4, 4, ['ADDRESS'], '100 n tampa st'], [4, 5, 1, ['SUITE'], '#2410']]"
142,100 NEWPORT AVE EXTENSION,100 NEWPORT AVE,,,,"[[0, 3, 3, ['ADDRESS'], '100 newport ave']]"
143,100 NORTH PRESIDENTIAL BLVD THIRD FLOOR,100 NORTH PRESIDENTIAL BLVD,,,,"[[0, 4, 4, ['ADDRESS'], '100 north presidential blvd']]"
144,100 NORTH WASHINGTON STREET FIRST FLOOR,100 NORTH WASHINGTON STREET,,,,"[[0, 4, 4, ['ADDRESS'], '100 north washington street']]"
145,100 OAKDALE CAMPUS STE 225 TIC,100 OAKDALE CAMPUS,,STE 225,,"[[0, 3, 3, ['ADDRESS'], '100 oakdale campus'], [3, 5, 2, ['SUITE'], 'ste 225']]"
